Pokedex_number,Name,Abilities,Against_normal,Against_fire,Against_water,Against_electric,Against_grass,Against_ice,Against_fighting,Against_poison,Against_ground,Against_flying,Against_psychic,Against_bug,Against_rock,Against_ghost,Against_dragon,Against_dark,Against_steel,Against_fairy,Against_All Concat,Type_1,Type_2,Base_total,HP,Attack,Defense,Sp_attack,Sp_defense,Speed,Height_m,Weight_kg,Capture_rate,Generation
14,Kakuna,Shed Skin,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,205,45,25,50,25,25,35,0.6,10,120,1
15,Beedrill,"Swarm, Sniper",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,395,65,90,40,45,80,75,1,29.5,45,1
15,Mega Beedrill,Adaptability,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,495,65,150,40,15,80,145,1.4,40.5,45,6
16,Pidgey,"Keen Eye, Tangled Feet, Big Pecks",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,251,40,45,40,35,35,56,0.3,1.8,255,1
17,Pidgeotto,"Keen Eye, Tangled Feet, Big Pecks",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,349,63,60,55,50,50,71,1.1,30,120,1
18,Pidgeot,"Keen Eye, Tangled Feet, Big Pecks",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,479,83,80,75,70,70,101,1.5,39.5,45,1
18,Mega Pidgeot,No Guard,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,579,83,80,80,135,80,121,2.2,50.5,45,6
19,Rattata,"Run Away, Guts, Hustle",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,253,30,56,35,25,35,72,0.3,3.5,255,1
19,Alolan Rattata,"Gluttony, Hustle, Thick Fat",1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,"1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2",dark,normal,253,30,56,35,25,35,72,0.3,3.8,255,7
20,Raticate,"Run Away, Guts, Hustle",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,413,75,71,70,40,80,77,0.7,18.5,127,1
20,Alolan Raticate,"Gluttony, Hustle, Thick Fat",1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,"1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2",dark,normal,413,75,71,70,40,80,77,0.7,25.5,127,7
21,Spearow,"Keen Eye, Sniper",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,262,40,60,30,31,31,70,0.3,2,255,1
22,Fearow,"Keen Eye, Sniper",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,442,65,90,65,61,61,100,1.2,38,90,1
23,Ekans,"Intimidate, Shed Skin, Unnerve",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,288,35,60,44,40,54,55,2,6.9,255,1
24,Arbok,"Intimidate, Shed Skin, Unnerve",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,448,60,95,69,65,79,80,3.5,65,90,1
25,Pikachu,"Static, Lightningrod",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,320,35,55,40,50,50,90,0.4,6,190,1
25,Partner Pikachu,-,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,430,45,80,50,75,60,120,0.4,6,190,7
26,Raichu,"Static, Lightningrod",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,485,60,90,55,90,80,110,0.8,30,75,1
26,Alolan Raichu,Surge Surfer,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1,"1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1",electric,psychic,485,60,85,50,95,85,110,0.7,21,75,7
27,Sandshrew,"Sand Veil, Sand Rush",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1",ground,,300,50,75,85,20,30,40,0.6,12,255,1
27,Alolan Sandshrew,"Snow Cloak, Slush Rush",0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,"0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5",ice,steel,300,50,75,90,10,35,40,0.7,40,255,7
28,Sandslash,"Sand Veil, Sand Rush",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1",ground,,450,75,100,120,25,65,65,1,29.5,90,1
28,Alolan Sandslash,"Snow Cloak, Slush Rush",0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,"0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5",ice,steel,450,75,100,120,25,65,65,1.2,55,90,7
29,Nidorana,"Poison Point, Rivalry, Hustle",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,275,55,47,52,40,40,41,0.4,7,235,1
30,Nidorina,"Poison Point, Rivalry, Hustle",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,365,70,62,67,55,55,56,0.8,20,120,1
31,Nidoqueen,"Poison Point, Rivalry, Sheer Force",1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,"1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5",poison,ground,505,90,92,87,75,85,76,1.3,60,45,1
32,Nidorana,"Poison Point, Rivalry, Hustle",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,273,46,57,40,40,40,50,0.5,9,235,1
33,Nidorino,"Poison Point, Rivalry, Hustle",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,365,61,72,57,55,55,65,0.9,19.5,120,1
34,Nidoking,"Poison Point, Rivalry, Sheer Force",1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,"1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5",poison,ground,505,81,102,77,85,75,85,1.4,62,45,1
35,Clefairy,"Cute Charm, Magic Guard, Friend Guard",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1",fairy,,323,70,45,48,60,65,35,0.6,7.5,150,1
36,Clefable,"Cute Charm, Magic Guard, Unaware",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1",fairy,,483,95,70,73,95,90,60,1.3,40,25,1
37,Vulpix,"Flash Fire, Drought",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,299,38,41,40,50,65,65,0.6,9.9,190,1
37,Alolan Vulpix,"Snow Cloak, Snow Warning",1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,"1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1",ice,,299,38,41,40,50,65,65,0.6,9.9,190,7
38,Ninetales,"Flash Fire, Drought",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,505,73,76,75,81,100,100,1.1,19.9,75,1
38,Alolan Ninetales,"Snow Cloak, Snow Warning",1,2,1,1,1,0.5,1,2,1,1,1,0.5,2,1,0,0.5,4,1,"1,2,1,1,1,0.5,1,2,1,1,1,0.5,2,1,0,0.5,4,1",ice,,505,73,67,75,81,100,109,1.1,19.9,75,7
39,Jigglypuff,"Cute Charm, Competitive, Friend Guard",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,"1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1",normal,fairy,270,115,45,20,45,25,20,0.5,5.5,170,1
40,Wigglytuff,"Cute Charm, Competitive, Frisk",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,"1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1",normal,fairy,435,140,70,45,85,50,45,1,12,50,1
41,Zubat,"Inner Focus, Infiltrator",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,"1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5",poison,flying,245,40,45,35,30,40,55,0.8,7.5,255,1
42,Golbat,"Inner Focus, Infiltrator",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,"1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5",poison,flying,455,75,80,70,65,75,90,1.6,55,90,1
43,Oddish,"Chlorophyll, Run Away",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,320,45,50,55,75,65,30,0.5,5.4,255,1
44,Gloom,"Chlorophyll, Stench",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,395,60,65,70,85,75,40,0.8,8.6,120,1
45,Vileplume,"Chlorophyll, Effect Spore",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,490,75,80,85,110,90,50,1.2,18.6,45,1
46,Paras,"Effect Spore, Dry Skin, Damp",1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,"1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1",bug,grass,285,35,70,55,45,55,25,0.3,5.4,190,1
47,Parasect,"Effect Spore, Dry Skin, Damp",1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,"1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1",bug,grass,405,60,95,80,60,80,30,1,29.5,75,1
48,Venonat,"Compoundeyes, Tinted Lens, Run Away",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,305,60,55,50,40,55,45,1,30,190,1
49,Venomoth,"Shield Dust, Tinted Lens, Wonder Skin ",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,450,70,65,60,90,75,90,1.5,12.5,75,1
50,Diglett,"Sand Veil, Arena Trap, Sand Force",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1",ground,,265,10,55,25,35,45,95,0.2,0.8,255,1
50,Alolan Diglett,"SandVeil,Tangling Hair,Sand Force ",0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,"0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5",ground,steel,265,10,55,30,35,45,90,0.2,1,255,7
51,Dugtrio,"Sand Veil, Arena Trap, Sand Force",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1",ground,,425,35,100,50,50,70,120,0.7,33.3,50,1
51,Alolan Dugtrio,"SandVeil,Tangling Hair,Sand Force ",0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,"0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5",ground,steel,425,35,100,60,50,70,110,0.7,66.6,50,7
52,Meowth,"Pickup, Technician, Unnerve",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,290,40,45,35,40,40,90,0.4,4.2,255,1
52,Alolan Meowth,"Pickup, Technician, Rattled",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2",dark,,290,40,35,35,50,40,90,0.4,4.2,255,7
52,Galarian Meowth,"Pickup, Tough Claws, Unnerve",0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,"0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5",steel,,290,50,65,55,40,40,40,0.4,7.5,255,8
53,Persian,"Limber, Technician, Unnerve",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,440,65,60,60,75,65,115,1,32,90,1
53,Alolan Persian,"Fur Coat, Technician, Rattled ",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2",dark,,440,65,60,60,75,65,115,1.1,33,90,7
54,Psyduck,"Damp, Cloud Nine, Swift Swim",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,320,50,52,48,65,50,55,0.8,19.6,190,1
55,Golduck,"Damp, Cloud Nine, Swift Swim",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,500,80,82,78,95,80,85,1.7,76.6,75,1
56,Mankey,"Vital Spirit, Anger Point, Defiant",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,305,40,80,35,35,45,70,0.5,28,190,1
57,Primeape,"Vital Spirit, Anger Point, Defiant",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,455,65,105,60,60,70,95,1,32,75,1
58,Growlithe,"Intimidate, Flash Fire, Justified",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,350,55,70,45,70,50,60,0.7,19,190,1
58,Hisuian Growlithe,"Intimidate, Flash Fire, Rock Head",0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,"0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5",fire,rock,350,60,75,45,65,50,55,0.8,22.7,190,8
59,Arcanine,"Intimidate, Flash Fire, Justified",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,555,90,110,80,100,80,95,1.9,155,75,1
59,Hisuian Arcanine ,"Intimidate, Flash Fire, Rock Head",0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,"0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5",fire,rock,545,85,115,80,95,80,90,2,168,75,8
60,Poliwag,"Water Absorb, Damp, Swift Swim",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,300,40,50,40,40,40,90,0.6,12.4,255,1
61,Poliwhirl,"Water Absorb, Damp, Swift Swim",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,385,65,65,65,50,50,90,1,20,120,1
62,Poliwrath,"Water Absorb, Damp, Swift Swim",1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,"1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2",water,fighting,510,90,95,95,70,90,70,1.3,54,45,1
63,Abra,"Synchronize, Inner Focus, Magic Guard",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1",psychic,,310,25,20,15,105,55,90,0.9,19.5,200,1
64,Kadabra,"Synchronize, Inner Focus, Magic Guard",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1",psychic,,400,40,35,30,120,70,105,1.3,56.5,100,1
65,Alakazam,"Synchronize, Inner Focus, Magic Guard",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1",psychic,,500,55,50,45,135,95,120,1.5,48,50,1
65,Mega Alakazam,Trace,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1",psychic,,600,55,50,65,175,105,150,1.2,48,50,6
66,Machop,"Guts, No Guard, Steadfast",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,305,70,80,50,35,35,35,0.8,19.5,180,1
67,Machoke,"Guts, No Guard, Steadfast",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,405,80,100,70,50,60,45,1.5,70.5,90,1
68,Machamp,"Guts, No Guard, Steadfast",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,505,90,130,80,65,85,55,1.6,130,45,1
69,Bellsprout,"Chlorophyll, Gluttony",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,300,50,75,35,70,30,40,0.7,4,255,1
70,Weepinbell,"Chlorophyll, Gluttony",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,390,65,90,50,85,45,55,1,6.4,120,1
71,Victreebel,"Chlorophyll, Gluttony",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,490,80,105,65,100,70,70,1.7,15.5,45,1
72,Tentacool,"Clear Body, Liquid Ooze, Rain Dish",1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,"1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5",water,poison,335,40,40,35,50,100,70,0.9,45.5,190,1
